original_group_name	superfamily	family	original_species_name	accepted_tree_tip	original_MLS_value	original_MLS_unit	MLS_years	original_body_mass_value	original_body_mass_unit	body_mass_g	taxonomic_mapping_status	MLS_trait_id	MLS_source	MLS_source_link	mass_trait_id	mass_source	mass_source_link	source_access_date	captive_wild_context	sex	sample_size	duplicate_resolution_rule	included	exclusion_reason
APE_Hylobatidae_Nomascus_concolor	APE	Hylobatidae	Nomascus_concolor	Nomascus_concolor	46.1	years	46.1	7.69	kg	7690	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
APE_Hylobatidae_Nomascus_gabriellae	APE	Hylobatidae	Nomascus_gabriellae	Nomascus_gabriellae		years		5.2	kg	5200	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS
APE_Hylobatidae_Nomascus_hainanus	APE	Hylobatidae	Nomascus_hainanus	Nomascus_hainanus		years		6.59	kg	6590	not_in_tree_exactly	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS
APE_Hylobatidae_Nomascus_leucogenys	APE	Hylobatidae	Nomascus_leucogenys	Nomascus_leucogenys	44.1	years	44.1	6.5	kg	6500	not_in_tree_exactly	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
APE_Hylobatidae_Nomascus_nasutus	APE	Hylobatidae	Nomascus_nasutus	Nomascus_nasutus		years			kg		not_in_tree_exactly	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS_and_body_mass
APE_Hylobatidae_Nomascus_siki	APE	Hylobatidae	Nomascus_siki	Nomascus_siki		years		7.56	kg	7560	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS
APE_Hylobatidae_Symphalangus_syndactylus	APE	Hylobatidae	Symphalangus_syndactylus	Symphalangus_syndactylus	43	years	43	11.3	kg	11300	not_in_tree_exactly	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
OWM_Cercopithecidae_Allenopithecus_nigroviridis	OWM	Cercopithecidae	Allenopithecus_nigroviridis	Allenopithecus_nigroviridis	27	years	27	5.3	kg	5300	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
OWM_Cercopithecidae_Allochrocebus_lhoesti	OWM	Cercopithecidae	Allochrocebus_lhoesti	Allochrocebus_lhoesti	24.1	years	24.1	5.5	kg	5500	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
OWM_Cercopithecidae_Allochrocebus_preussi	OWM	Cercopithecidae	Allochrocebus_preussi	Allochrocebus_preussi	26	years	26	4.525	kg	4525	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
