Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel
Plecturocebus_cupreus	Macaca_arctoides	1.09180759785	0.787140639548	78.06533835445	0.252595017794807	0.6429731700841	0.308949181156284	0.62055046732725	0.24378615411993	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Ateles_geoffroyi	Macaca_nemestrina	1.34677002605	1.04217615297	78.0653383535	0.252534423882508	0.642973170076275	0.308878887833522	0.620436130398022	0.243682766307917	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Papio_anubis	Nycticebus_coucang	0.777921027868	1.17239727649	121.4130573133	0.327054615950615	0.999999999947287	0.320116119975789	0.7448481641617	0.243606030284267	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_cephus	Colobus_angolensis	1.1913510255	0.984578204093	38.5936741537	0.171432388972784	0.317870869951629	0.298738534912361	0.4514898352933	0.243495042729261	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Ateles_geoffroyi	Nycticebus_pygmaeus	1.34677002605	0.952486683141	121.413057307	0.326894680582896	0.999999999895398	0.319968255602037	0.744615710035254	0.243410914714442	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_nemestrina	Prolemur_simus	1.04217615297	0.647945780728	121.4130573175	0.32685076336047	0.99999999998188	0.319927650827994	0.744551853875336	0.243357341805017	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Papio_anubis	Colobus_angolensis	0.777921027868	0.984578204093	38.5936741539	0.17133650920634	0.317870869953276	0.298579484359868	0.451266172689212	0.243238302279288	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_petaurista	Lemur_catta	0.951087263491	1.34497561795	121.4130573137	0.326567201308108	0.999999999950582	0.31966545415089	0.744139284141223	0.243011483417427	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Gorilla_gorilla	Eulemur_macaco	0.928540151543	1.32240333486	121.4130573111	0.326546332274272	0.999999999929167	0.319646155998943	0.74410890237744	0.242986032901199	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Aotus_trivirgatus	Galago_senegalensis	1.32469369077	0.930853140027	121.4130573111	0.326527567930859	0.999999999929167	0.319628803928706	0.744081582544887	0.242963149507736	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_hamlyni	Pan_troglodytes	0.904256102215	1.17197142897	62.151576032	0.221958948559791	0.511901910750381	0.304491832636825	0.560219682620428	0.242909372099541	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Aotus_azarae	Plecturocebus_cupreus	0.856613955218	1.09180759785	49.09360321045	0.194995685377102	0.40435192304876	0.301155368933806	0.503267585369592	0.242697022428625	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Papio_hamadryas	Cheirogaleus_medius	0.961842981167	1.35534465104	121.4130573119	0.326246606648201	0.999999999935757	0.319368968587317	0.743672276311886	0.242620556620683	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_hamlyni	Microcebus_murinus	0.904256102215	1.29746759826	121.413057312	0.32600602767746	0.99999999993658	0.319146449014409	0.743321438146335	0.242327269352952	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Hoolock_hoolock	Otolemur_crassicaudatus	1.19282123296	0.79961309695	121.4130573167	0.326003241920497	0.999999999975291	0.319143872205627	0.743317373703826	0.242323873609264	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Callithrix_jacchus	Cebus_albifrons	1.18456042837	1.39875685547	41.3912937965	0.17758719428077	0.34091303448121	0.298818644844428	0.465085794881124	0.242270822934266	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Aotus_azarae	Callimico_goeldii	0.856613955218	1.06830214382	40.5102348788	0.175507649614794	0.333656328018576	0.298528320360647	0.460478321886341	0.242217698830327	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Saguinus_labiatus	Trachypithecus_pileatus	0.975256418206	0.67173356493	78.0653383524	0.25164645668069	0.642973170067215	0.307848476450771	0.618758162424969	0.242169201399524	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Alouatta_palliata	Loris_tardigradus	0.713856539332	1.10654377096	121.4130573097	0.325571367547332	0.999999999917636	0.318744346833709	0.742686724906426	0.241797532706949	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_fuscata	Propithecus_tattersalli	1.05382060866	0.661145208166	121.4130573136	0.325561558523341	0.999999999949758	0.318735271498181	0.742672388706436	0.241785580351667	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Galago_senegalensis	Otolemur_garnettii	0.930853140027	0.807370803335	15.608317406	0.102377439312412	0.128555509189599	0.281331497419492	0.303429220105147	0.241641192685971	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Sapajus_apella	Nycticebus_coucang	1.56460416981	1.17239727649	121.4130573024	0.325173125925946	0.999999999857511	0.318375855743564	0.742104236562653	0.24131235440035	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_ascanius	Nomascus_concolor	1.0465435524	1.31327768994	62.1515760357	0.22114545861456	0.511901910780856	0.303431387553101	0.558541561964667	0.241294137166929	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Leontocebus_fuscicolis	Trachypithecus_obscurus	1.28616276318	0.98330722749	78.0653383516	0.251093193214084	0.642973170060626	0.307206172252283	0.61771037646881	0.24122759413803	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Leontopithecus_rosalia	Cacajao_calvus	1.44017340539	1.20580906763	49.0936032067	0.194308120568408	0.404351923017874	0.300145143668169	0.501748583355796	0.241111315860903	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Hapalemur_griseus	Varecia_rubra	1.01260734095	1.256038828	52.6432531428	0.201825564366779	0.43358806956143	0.301018392609982	0.517963566056799	0.241100473882001	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Papio_hamadryas	Semnopithecus_vetulus	0.961842981167	0.756243526773	38.5936741539	0.170459567163749	0.317870869953276	0.297124159066958	0.449218408062429	0.240895227082512	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_cephus	Otolemur_crassicaudatus	1.1913510255	0.79961309695	121.4130573147	0.324784313942253	0.999999999958818	0.318016016542624	0.741534658836389	0.240838825444497	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Semnopithecus_entellus	Colobus_polykomos	0.7663924163	0.935484496328	27.0170263237	0.140191825203754	0.222521588041061	0.292299087460755	0.382219262544011	0.24080367444704	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Saguinus_bicolor	Eulemur_fulvus	0.933520333916	1.32517582296	121.4130573055	0.324715964526874	0.999999999883044	0.317952752800843	0.741434442492787	0.240755600155649	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Alouatta_palliata	Macaca_mulatta	0.713856539332	1.0163729387	78.0653383567	0.250812020139826	0.642973170102631	0.306879663235532	0.617177206957975	0.240749488873193	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_mulatta	Propithecus_diadema	1.0163729387	0.624914242384	121.4130573138	0.32455280649061	0.999999999951405	0.31780172578942	0.741195105507656	0.240556951661304	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Papio_anubis	Trachypithecus_obscurus	0.777921027868	0.98330722749	38.5936741532	0.170282760682244	0.31787086994751	0.296830608494616	0.448805088753727	0.240423948044827	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_lowei	Semnopithecus_entellus	0.971640845692	0.7663924163	38.5936741533	0.170168537354935	0.317870869948334	0.296640940761481	0.44853798859177	0.240119685956729	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Mico_argentatus	Macaca_silenus	0.84285099368	1.14490415604	78.0653383533	0.250427956961689	0.642973170074628	0.306433582178132	0.616448198024155	0.240096896711857	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Leontocebus_nigricollis	Cacajao_calvus	0.972058707442	1.20580906763	49.0936032053	0.193799080544543	0.404351923006343	0.299396878853854	0.500622397289491	0.239939900800686	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Saguinus_labiatus	Macaca_thibetana	0.975256418206	0.67332143316	78.0653383533	0.250329977840818	0.642973170074628	0.306319764539603	0.616262083107173	0.239930499106906	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Callimico_goeldii	Semnopithecus_entellus	1.06830214382	0.7663924163	78.065338355	0.250309037187243	0.64297317008863	0.306295437888566	0.616222298401706	0.239894940227412	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Mico_humeralifer	Macaca_nemestrina	0.740274624203	1.04217615297	78.0653383528	0.250302239718389	0.64297317007051	0.306287541240738	0.616209383491383	0.239883397944065	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_mulatta	Trachypithecus_phayrei	1.0163729387	0.811250299303	38.5936741543	0.170064246669124	0.317870869956571	0.29646775004408	0.448294059400667	0.23984201983854	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_assamensis	Cercopithecus_ascanius	0.868307461744	1.0465435524	29.8369393143	0.147772993638193	0.245747368305985	0.293143904713357	0.398760081384334	0.23978271415791	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_mona	Cheirogaleus_medius	0.964734866524	1.35534465104	121.4130573116	0.323848985858329	0.999999999933285	0.317150089406145	0.74016090981492	0.239700360031532	11.8833270502149	-28.8301865462559	40.7135135964709	OU
