accepted_tree_tip	original_species_name	superfamily	family	MLS_years	body_mass_g	expected_MLS_years	LQ_mammal	log_LQ_mammal	MLS_trait_id	MLS_source	MLS_source_link	mass_trait_id	mass_source	mass_source_link	taxonomic_mapping_status	genome_samples	genome_available
Cercopithecus_wolfi	Cercopithecus_wolfi	OWM	Cercopithecidae	24	3340	29.9841928789	0.80042174545	-0.222616508413	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	0	False
Cheirogaleus_major	Cheirogaleus_major	STR	Cheirogaleidae	13.4	505	20.9810080855	0.638672839046	-0.448362944689	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	2	True
Cheirogaleus_medius	Cheirogaleus_medius	STR	Cheirogaleidae	23.3	176	17.1911992881	1.35534465104	0.304055776997	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	2	True
Chiropotes_albinasus	Chiropotes_albinasus	PLA	Pitheciidae	20	2820	29.0403176279	0.68869770146	-0.372952853942	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	7	True
Chiropotes_satanas	Chiropotes_satanas	PLA	Pitheciidae	19.6	2885	29.1656621151	0.672023145666	-0.397462496096	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	2	True
Chlorocebus_aethiops	Chlorocebus_aethiops	OWM	Cercopithecidae	30.8	4650	31.9192654706	0.964934485361	-0.0356950707652	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not_in_tree_exactly	0	False
Colobus_angolensis	Colobus_angolensis	OWM	Cercopithecidae	35.3	8600	35.8529163588	0.984578204093	-0.0155419487172	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Colobus_guereza	Colobus_guereza	OWM	Cercopithecidae	35.3	8890	36.0783538301	0.978426015951	-0.0218101046616	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	5	True
Colobus_polykomos	Colobus_polykomos	OWM	Cercopithecidae	33.9	9100	36.2379068098	0.935484496328	-0.0666907060098	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
Daubentonia_madagascariensis	Daubentonia_madagascariensis	STR	Daubentoniidae	23.3	2545	28.4825764899	0.818043971839	-0.200839188519	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	exact_tree_tip_match	1	True
