Superfamily	Family	Species	Maximum.lifespan..y.	BodyMass_kg	LQ	LQ_mean_family	LongLivedCFG	ShortLivedCFG
OWM	Cercopithecidae	Cercopithecus_petaurista	29.0	3.65	0.951087263490973	0.9064781958602356	0	0
OWM	Cercopithecidae	Colobus_guereza	35.3	8.89	0.9784260159506251	0.9064781958602356	0	0
OWM	Cercopithecidae	Erythrocebus_patas	28.3	9.45	0.7753995471738978	0.9064781958602356	0	0
APE	Hominidae	Gorilla_gorilla	55.0	122.5	0.9285401515426395	1.0984123648692328	0	0
OWM	Cercopithecidae	Nasalis_larvatus	25.1	15.75	0.6244295043474718	0.9064781958602356	0	1
STR	Lorisidae	Nycticebus_coucang	25.8	0.65	1.1723972764874953	1.0111163879696563	0	0
STR	Lorisidae	Nycticebus_pygmaeus	19.3	0.42	0.9524866831409482	1.0111163879696563	0	0
OWM	Cercopithecidae	Papio_hamadryas	37.5	13.4	0.9618429811666882	0.9064781958602356	0	0
STR	Lorisidae	Perodicticus_potto	26.3	0.83	1.14115781388446	1.0111163879696563	0	0
OWM	Cercopithecidae	Rhinopithecus_roxellana	29.5	14.75	0.7430465866117809	0.9064781958602356	0	0
OWM	Cercopithecidae	Semnopithecus_johnii	34.0	11.6	0.8961734562598724	0.9064781958602356	0	0
OWM	Cercopithecidae	Theropithecus_gelada	35.5	15.35	0.8874616371162459	0.9064781958602356	0	0
OWM	Cercopithecidae	Trachypithecus_cristatus	28.3	6.25	0.8384184594033078	0.9064781958602356	0	0
OWM	Cercopithecidae	Trachypithecus_francoisi	26.3	7.52	0.7523956845648258	0.9064781958602356	0	0
OWM	Cercopithecidae	Trachypithecus_obscurus	33.9	6.99	0.9833072274895859	0.9064781958602356	0	0
OWM	Cercopithecidae	Trachypithecus_phayrei	28.3	7.44	0.811250299303353	0.9064781958602356	0	0
OWM	Cercopithecidae	Trachypithecus_pileatus	25.2	10.93	0.6717335649303504	0.9064781958602356	0	1
PLA	Callitrichidae	Callimico_goeldii	22.2	0.48	1.0683021438219935	1.0372495175296086	0	0
PLA	Callitrichidae	Callithrix_geoffroyi	17.6	0.24	0.9654915172828963	1.0372495175296086	0	0
PLA	Callitrichidae	Callithrix_jacchus	22.8	0.32	1.1845604283656832	1.0372495175296086	0	0
PLA	Callitrichidae	Callithrix_kuhlii	20.0	0.38	1.0058810239950566	1.0372495175296086	0	0
TAR	Tarsiidae	Carlito_syrichta	16.0	0.13	0.9855539625103605	0.9855539625103605	0	0
OWM	Cercopithecidae	Cercopithecus_neglectus	30.8	5.74	0.9272825522379446	0.9064781958602356	0	0
STR	Cheirogaleidae	Cheirogaleus_medius	23.3	0.176	1.3553446510354628	1.0971616961152215	1	0
STR	Lemuridae	Hapalemur_griseus	23.3	0.823	1.01260734094849	1.1310458804921466	0	0
PLA	Callitrichidae	Leontopithecus_chrysomelas	21.3	0.58	0.9889798245987159	1.0372495175296086	0	0
PLA	Callitrichidae	Leontopithecus_rosalia	31.6	0.64	1.4401734053922015	1.0372495175296086	1	0
PLA	Callitrichidae	Mico_argentatus	16.5	0.35	0.842850993680424	1.0372495175296086	0	0
PLA	Callitrichidae	Mico_humeralifer	15.0	0.42	0.7402746242028094	1.0372495175296086	0	0
PLA	Callitrichidae	Saguinus_geoffroyi	20.5	0.49	0.9826582875565816	1.0372495175296086	0	0
PLA	Callitrichidae	Saguinus_imperator	23.7	0.47	1.1450318581480299	1.0372495175296086	0	0
PLA	Atelidae	Alouatta_caraya	32.4	5.38	0.987467656000009	1.072751795711854	0	0
PLA	Atelidae	Alouatta_palliata	24.0	6.12	0.7138565393323573	1.072751795711854	0	0
PLA	Atelidae	Alouatta_seniculus	25.0	6.01	0.7461539678549526	1.072751795711854	0	0
OWM	Cercopithecidae	Pygathrix_nemaeus	26.0	9.72	0.7085983606136635	0.9064781958602356	0	0
OWM	Cercopithecidae	Semnopithecus_entellus	29.0	11.44	0.7663924163000375	0.9064781958602356	0	0
