Domain	Family	Genus	SpeciesName	SamplesTMB	Maximum.lifespan..y.	Body_mass	BodyMass_kg	LQ	LQ_class
PLA	Pitheciidae	Chiropotes	Chiropotes_satanas	2	19.6		2.885	0.6720231456662432	LOW
PLA	Pitheciidae	Chiropotes	Chiropotes_utahickae	0			3.0		
OWM	Cercopithecidae	Chlorocebus	Chlorocebus_cynosuros	0			3.98		
OWM	Cercopithecidae	Chlorocebus	Chlorocebus_djamdjamensis	0			3.98		
OWM	Cercopithecidae	Colobus	Colobus_satanas	0		9.09492952	8.91		
OWM	Cercopithecidae	Colobus	Colobus_vellerosus	0		8.964439834	7.68		
OWM	Cercopithecidae	Erythrocebus	Erythrocebus_poliophaeus	0					
STR	Lemuridae	Eulemur	Eulemur_cinereiceps	1			2.16		
STR	Lemuridae	Eulemur	Eulemur_rufifrons	4			2.18		
STR	Galagidae	Euoticus	Euoticus_pallidus	0		5.703782475	0.253		
STR	Galagidae	Galago	Galago_matschiei	1		5.347107531	0.21		
STR	Galagidae	Galagoides	Galagoides_cocos	0			0.14		
STR	Galagidae	Galagoides	Galagoides_granti	0			0.134		
STR	Galagidae	Galagoides	Galagoides_kumbirensis	0					
STR	Galagidae	Galagoides	Galagoides_orinus	0			0.09		
STR	Galagidae	Galagoides	Galagoides_rondoensis	0			0.675		
STR	Galagidae	Galagoides	Galagoides_thomasi	1			0.12		
APE	Hominidae	Gorilla	Gorilla_beringei	17		11.77528973	130.0		
APE	Hylobatidae	Hoolock	Hoolock_leuconedys	0			7.2		
APE	Hylobatidae	Hoolock	Hoolock_tianxing	0					
APE	Hylobatidae	Hylobates	Hylobates_abbotti	1			5.95		
APE	Hylobatidae	Hylobates	Hylobates_albibarbis	0			5.95		
APE	Hylobatidae	Hylobates	Hylobates_funereus	0			5.5		
PLA	Atelidae	Lagothrix	Lagothrix_cana	4		9.01371703	8.31		
PLA	Atelidae	Lagothrix	Lagothrix_flavicauda	0			7.25		
PLA	Atelidae	Lagothrix	Lagothrix_poeppigii	0			7.25		
PLA	Atelidae	Lagotrix	Lagotrix_lugens	0			6.87		
PLA	Callitrichidae	Leontocebus	Leontocebus_cruzlimai	0					
PLA	Callitrichidae	Leontocebus	Leontocebus_fuscus	0			0.37		
PLA	Callitrichidae	Leontocebus	Leontocebus_illigeri	2			0.29		
PLA	Callitrichidae	Leontocebus	Leontocebus_lagonotus	0			0.37		
PLA	Callitrichidae	Leontocebus	Leontocebus_leucogenys	0			0.37		
PLA	Callitrichidae	Leontocebus	Leontocebus_nigricollis	1	20.2	6.165417854	0.48	0.9720587074416338	EXPECTED
PLA	Callitrichidae	Leontocebus	Leontocebus_nigrifrons	0			0.36		
PLA	Callitrichidae	Leontocebus	Leontocebus_tripartitus	0			0.4		
PLA	Callitrichidae	Leontocebus	Leontocebus_weddelli	19			0.36		
PLA	Callitrichidae	Leontopithecus	Leontopithecus_caissara	0			0.58		
STR	Lepilemuridae	Lepilemur	Lepilemur_aeeclis	0			0.86		
STR	Lepilemuridae	Lepilemur	Lepilemur_ahmansonorum	0			0.595		
STR	Lepilemuridae	Lepilemur	Lepilemur_ankaranensis	5			0.76		
STR	Lepilemuridae	Lepilemur	Lepilemur_betsileo	0			1.14		
STR	Lepilemuridae	Lepilemur	Lepilemur_fleuretae	0			0.89		
STR	Lepilemuridae	Lepilemur	Lepilemur_grewcockorum	0			0.82		
STR	Lepilemuridae	Lepilemur	Lepilemur_hollandorum	0			1.0		
STR	Lepilemuridae	Lepilemur	Lepilemur_hubbardi	0			0.99		
STR	Lepilemuridae	Lepilemur	Lepilemur_jamesorum	0			0.825		
STR	Lepilemuridae	Lepilemur	Lepilemur_milanoii	0			0.715		
STR	Lepilemuridae	Lepilemur	Lepilemur_mittermeieri	1			0.86		
STR	Lepilemuridae	Lepilemur	Lepilemur_otto	0			0.939		
STR	Lepilemuridae	Lepilemur	Lepilemur_petteri	0			0.62		
STR	Lepilemuridae	Lepilemur	Lepilemur_randrianasoloi	0			0.855		
STR	Lepilemuridae	Lepilemur	Lepilemur_sahamalazensis	1			0.69		
STR	Lepilemuridae	Lepilemur	Lepilemur_scottorum	0			0.88		
STR	Lepilemuridae	Lepilemur	Lepilemur_seali	0			0.95		
STR	Lepilemuridae	Lepilemur	Lepilemur_tymerlachsoni	0			0.88		
STR	Lepilemuridae	Lepilemur	Lepilemur_wrightae	0			1.435		
OWM	Cercopithecidae	Lophocebus	Lophocebus_johnstoni	0			6.58		
OWM	Cercopithecidae	Lophocebus	Lophocebus_opdenboschi	0			6.8		
OWM	Cercopithecidae	Lophocebus	Lophocebus_osmani	0			6.58		
OWM	Cercopithecidae	Lophocebus	Lophocebus_ugandae	0			6.5		
OWM	Cercopithecidae	Macaca	Macaca_leucogenys	0					
OWM	Cercopithecidae	Macaca	Macaca_munzala	0			15.0		
OWM	Cercopithecidae	Macaca	Macaca_siberu	1			6.165		
PLA	Callitrichidae	Mico	Mico_acariensis	2			0.42		
PLA	Callitrichidae	Mico	Mico_chrysoleucos	0			0.295		
PLA	Callitrichidae	Mico	Mico_humilis	0					
PLA	Callitrichidae	Mico	Mico_intermedius	1			0.325		
PLA	Callitrichidae	Mico	Mico_leucippe	0			0.5		
PLA	Callitrichidae	Mico	Mico_marcai	11			0.55		
PLA	Callitrichidae	Mico	Mico_mauesi	2			0.37		
PLA	Callitrichidae	Mico	Mico_melanurus	0			0.22		
PLA	Callitrichidae	Mico	Mico_nigriceps	5			0.38		
PLA	Callitrichidae	Mico	Mico_rondoni	0			0.33		
PLA	Callitrichidae	Mico	Mico_saterei	4			0.44		
STR	Cheirogaleidae	Microcebus	Microcebus_arnholdi	2			0.05		
STR	Cheirogaleidae	Microcebus	Microcebus_bongolavensis	0			0.052		
STR	Cheirogaleidae	Microcebus	Microcebus_boraha	0					
STR	Cheirogaleidae	Microcebus	Microcebus_danfossi	0			0.06		
STR	Cheirogaleidae	Microcebus	Microcebus_ganzhorni	0					
STR	Cheirogaleidae	Microcebus	Microcebus_gerpi	0			0.07		
STR	Cheirogaleidae	Microcebus	Microcebus_griseorufus	0			0.05		
STR	Cheirogaleidae	Microcebus	Microcebus_jollyae	0			0.06		
STR	Cheirogaleidae	Microcebus	Microcebus_lehilahytsara	0			0.045		
STR	Cheirogaleidae	Microcebus	Microcebus_macarthurii	0			0.05		
STR	Cheirogaleidae	Microcebus	Microcebus_mamiratra	0			0.06		
STR	Cheirogaleidae	Microcebus	Microcebus_manitatra	0					
STR	Cheirogaleidae	Microcebus	Microcebus_margotmarshae	0			0.045		
STR	Cheirogaleidae	Microcebus	Microcebus_marohita	0			0.06		
STR	Cheirogaleidae	Microcebus	Microcebus_mittermeieri	0			0.04		
STR	Cheirogaleidae	Microcebus	Microcebus_sambiranensis	0			0.04		
STR	Cheirogaleidae	Microcebus	Microcebus_simmonsi	0			0.06825		
STR	Cheirogaleidae	Microcebus	Microcebus_tanosi	0			0.05		
STR	Cheirogaleidae	Microcebus	Microcebus_tavaratra	0			0.055		
OWM	Cercopithecidae	Miopithecus	Miopithecus_ogouensis	1		7.467371067	1.25		
STR	Cheirogaleidae	Mirza	Mirza_zaza	5			0.29		
APE	Hylobatidae	Nomascus	Nomascus_annamensis	2			7.0		
APE	Hylobatidae	Nomascus	Nomascus_hainanus	0			6.59		
APE	Hylobatidae	Nomascus	Nomascus_nasutus	0					
APE	Hylobatidae	Nomascus	Nomascus_siki	1			7.56		
STR	Lorisidae	Nycticebus	Nycticebus_bancanus	0					
STR	Lorisidae	Nycticebus	Nycticebus_bengalensis	9	25.5	6.966024187	1.26	1.0225060038585325	EXPECTED
STR	Lorisidae	Nycticebus	Nycticebus_borneanus	0			0.47		
STR	Lorisidae	Nycticebus	Nycticebus_javanicus	0			0.73		
STR	Lorisidae	Nycticebus	Nycticebus_kayan	0			0.6		
STR	Lorisidae	Nycticebus	Nycticebus_menagensis	0			0.285		
OWM	Cercopithecidae	Papio	Papio_kindae	25			13.0		
STR	Galagidae	Paragalago 	Paragalago _granti	0					
STR	Galagidae	Paragalago	Paragalago_cocos	3					
STR	Galagidae	Paragalago	Paragalago_orinus	0					
STR	Galagidae	Paragalago	Paragalago_rondoensis	0					
STR	Galagidae	Paragalago	Paragalago_zanzibaricus	0					
STR	Lorisidae	Perodicticus	Perodicticus_edwardsi	0			1.19		
STR	Lorisidae	Perodicticus	Perodicticus_ibeanus	1			0.861		
STR	Cheirogaleidae	Phaner	Phaner_electromontis	0			0.38		
STR	Cheirogaleidae	Phaner	Phaner_furcifer	0	25.0	5.789960171	0.37	1.2637047041411806	HIGH
STR	Cheirogaleidae	Phaner	Phaner_pallescens	0			0.34		
STR	Cheirogaleidae	Phaner	Phaner_parienti	0			0.36		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_badius	1			8.25		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_bouvieri	0					
